chapter	chapter_title	unit	title	path	physical_pdf_pages	printed_pages	coverage	figures_tables_footnotes	status	uncertainties
15	Cosmology: The Standard Model	15.8	The Formation of Galaxies	latex/chapters/chapter15/sec158.tex	589--599	pp. 561--571; boundary pages are partial	Section 15.8, The Formation of Galaxies; equations (15.8.1)--(15.8.36) and all intervening unnumbered displays.	Figure 15.6; linked reference markers 49 and 143--152a; no tables or footnotes.	source-reviewed and compile-clean; visually proofed.	the scale-factor, radiation-constant, derivative, and unit modernizations are documented below; no unresolved source uncertainty remains. MODERNIZATION CHECK: R_source(t) -> a(t), while the source radiation constant a_source -> a_{\mathrm{rad}} to prevent a symbol collision. Coordinate derivatives use compact notation, vector operators are bold, and units are upright. The section is Newtonian and contains no signature-, coordinate-order-, action-, or worldline-derivative expression.
15	Cosmology: The Standard Model	15.9	Newtonian Theory of Small Fluctuations	latex/chapters/chapter15/sec159.tex	599--606	pp. 571--578; boundary pages are partial	Section 15.9, Newtonian Theory of Small Fluctuations; equations (15.9.1)--(15.9.46), including all unnumbered displays.	reference notes 152a and 153--155; no figures or tables.	source-reviewed and compile-clean.	the source's inequalities following (15.9.43) select pressure-dominated modes as growing, opposite to (15.9.23) and to the later criterion after (15.9.46); SOURCE ERRATUM corrections are used below. MODERNIZATION: R_{\mathrm{source}}(t) -> a(t), with H=\dot a/a. To avoid collision with the spatial-curvature constant k, the source's physical wavevector k=q/R is written \mathbf{k}_{\mathrm{phys}}=\mathbf q/a.
15	Cosmology: The Standard Model	15.10	General-Relativistic Theory of Small Fluctuations	latex/chapters/chapter15/sec1510.tex	606--616	pp. 578--588; boundary pages are partial	Section 15.10, General-Relativistic Theory of Small Fluctuations; equations (15.10.1)--(15.10.59), including all unnumbered displays.	reference notes 156--157; no figures or tables.	source-reviewed and compile-clean.	the curvature components (15.10.18)--(15.10.20) and field equation (15.10.28) are converted to the binding curvature sign; the resulting dynamical component equations are unchanged because both sides reverse. In the unnumbered derivation preceding (15.10.55), the source's last equality drops a minus sign; it is corrected as a SOURCE ERRATUM. MODERNIZATION CHECK: R_{\mathrm{source}}(t) -> a(t), with H=\dot a/a. Weinberg's gauge displacement epsilon_mu is denoted xi_mu. Covariant and coordinate derivatives are written with nabla, dots, and compact partials.
15	Cosmology: The Standard Model	15.11	The Very Early Universe	latex/chapters/chapter15/sec1511.tex	616--624	pp. 588--593 and 595--597; boundary pages are partial	Section 15.11, The Very Early Universe; equations (15.11.1)--(15.11.28), including all unnumbered displays.	reference notes 149, 156, and 158--172; no figures or tables.	source-reviewed and compile-clean.	SOURCE ERRATA -- the final line of (15.11.4) omits exponent -1/2, and (15.11.21) reverses the derived coefficient; both are corrected below. RESTORED SOURCE: source-supplements/printed-p594.png supplies equations (15.11.25)--(15.11.27) and their surrounding prose. MODERNIZATION CHECK: R_{\mathrm{source}}(t) -> a(t). Weinberg's radiation constant a_source is written a_{\mathrm{rad}} to avoid collision with the modern scale factor. Coordinate and thermodynamic derivatives are compact.
15	Cosmology: The Standard Model	backmatter	Chapter 15 back matter	latex/chapters/chapter15/backmatter.tex	624--635	pp. 597--609	Chapter 15 bibliography and references 1--173.	none.	source-reviewed and compile-clean.	the source's unusual or inconsistent bibliographic spellings and punctuation are retained where legible. RESTORED SOURCE: printed-p602.png supplies references 43a--56, omitted from the bound scan between printed pages 601 and 603.
16	Cosmology: Other Models	opening	Chapter 16 opening	latex/chapters/chapter16/introduction.tex	636--637 (duplicate scans of printed p. 611; transcribed once).	UNKNOWN	Chapter 16 epigraph and opening material before Section 16.1.	chapter epigraph; no figures, tables, or footnotes.	source-reviewed and compile-clean.	none.
16	Cosmology: Other Models	16.1	Naive Models: The Olbers Paradox	latex/chapters/chapter16/sec161.tex	636--639	pp. 611--613; pp. 636--637 are duplicate scans of p. 611, and p. 639 is a boundary page	Section 16.1, Naive Models: The Olbers Paradox; equations (16.1.1)--(16.1.3), including all unnumbered displays.	linked reference markers 1--4; no figures or tables.	source-reviewed and compile-clean.	scale-factor notation conversion documented below; no source uncertainty. MODERNIZATION CHECK: R_{\mathrm{source}}(t) -> a(t); compact notation is used for the luminosity integrals.
16	Cosmology: Other Models	16.2	Models with a Cosmological Constant	latex/chapters/chapter16/sec162.tex	639--642	pp. 613--616; both boundary pages are partial	Section 16.2, Models with a Cosmological Constant; equations (16.2.1)--(16.2.15), including all unnumbered displays.	linked reference markers 5--13; no figures or tables.	source-reviewed and compile-clean.	curvature, cosmological-constant, and scale-factor conversions are documented below; no source uncertainty. MODERNIZATION CHECK: At fixed slots the target R_{\mu\nu}, R, and G_{\mu\nu} are the negatives of Weinberg's source curvature objects. Consequently (16.2.1)--(16.2.2) are written in the target form G_{\mu\nu}+\Lambda g_{\mu\nu}=8\pi G T_{\mu\nu}. The source cosmological-constant symbol is written \Lambda, and R_{\mathrm{source}}(t) is written a(t).
16	Cosmology: Other Models	16.3	The Steady State Model Revisited	latex/chapters/chapter16/sec163.tex	642--645	pp. 616--619; both boundary pages are partial	Section 16.3, The Steady State Model Revisited; equations (16.3.1)--(16.3.13), including all unnumbered displays.	linked reference markers 14--21; no figures or tables.	source-reviewed and compile-clean.	curvature and scale-factor conversions are documented below; no source uncertainty. MODERNIZATION CHECK: R_{\mathrm{source}}(t) -> a(t). At fixed slots the target Einstein tensor is the negative of Weinberg's. Keeping Weinberg's correction tensor C_{\mu\nu} unchanged therefore converts the source equation G^{\mathrm{source}}_{\mu\nu}+C_{\mu\nu}=-8\pi G T_{\mu\nu} into G_{\mu\nu}-C_{\mu\nu}=8\pi G T_{\mu\nu} in (16.3.3).
16	Cosmology: Other Models	16.4	Models with a Varying Constant of Gravitation	latex/chapters/chapter16/sec164.tex	645--657	pp. 619--631; both boundary pages are partial	Section 16.4, Models with a Varying Constant of Gravitation; equations (16.4.1)--(16.4.44), including all unnumbered displays.	Table 16.1 and its source note; linked reference markers 22--42; no figures or footnotes.	source-reviewed and compile-clean; visually proofed.	the curvature, signature, scale-factor, scalar-field, derivative, deceleration-term, and unit modernizations are documented below; no unresolved source uncertainty remains. MODERNIZATION CHECK: R_{\mathrm{source}}(t) -> a(t), with time first and signature (-+++). Weinberg's source scalar is written \Phi_{\mathrm{BD}}, and covariant derivatives use \nabla and \Box. At fixed slots the target Ricci tensor is the negative of Weinberg's. Accordingly, both sides of the source equations (16.4.10) and (16.4.12) are negated; their target forms agree with (9.9.1) and (9.9.4). The derived homogeneous cosmological equations (16.4.13)--(16.4.18) retain their printed algebra after these paired convention changes. The standard q=-a\ddot a/\dot a^2 convention and spelling ``deceleration'' are used. Units are upright. No action or worldline derivative occurs.
16	Cosmology: Other Models	backmatter	Chapter 16 back matter	latex/chapters/chapter16/backmatter.tex	657--659	pp. 631--633; p. 657 is a boundary page	Chapter 16 bibliography and references 1--42.	none.	source-reviewed and compile-clean.	the source's unusual or inconsistent bibliographic spellings and punctuation are retained where legible.
backmatter	Back matter	appendix	Appendix: Some Useful Numbers	latex/backmatter/appendix.tex	660--664	pp. 635--639; blank printed p. 640 is omitted from the scan	Appendix, Some Useful Numbers.	numerical and astronomical reference tables.	source-reviewed and compile-clean.	SOURCE ERRATUM -- the scan's +2600 km/sec for NGC5055 (M63) is corrected to +500 km/sec; question marks are preserved.
backmatter	Back matter	index	Index	latex/backmatter/index.tex	665--681	pp. 641--657	Index.	none.	source-reviewed and compile-clean. Notation-normalized and visually proofed.	SOURCE ERRATUM -- the scan gives Ash, M. E. locator 653, outside the pagination; the spurious locator is removed.
